n 	 	 fact(n) 	 	  isAccurate 
0.0	 	1.0	 	 	true
1.0	 	1.0	 	 	true
2.0	 	2.0	 	 	true
3.0	 	6.0	 	 	true
4.0	 	24.0	 	 	true
5.0	 	120.0	 	 	true
6.0	 	720.0	 	 	true
7.0	 	5040.0	 	 	true
8.0	 	40320.0	 	 	true
9.0	 	362880.0	 	 	true
10.0	 	3628800.0	 	 	true
11.0	 	3.99168E7	 	 	true
12.0	 	4.790016E8	 	 	true
13.0	 	6.2270208E9	 	 	true
14.0	 	8.71782912E10	 	 	true
15.0	 	1.307674368E12	 	 	true
16.0	 	2.0922789888E13	 	 	true
17.0	 	3.55687428096E14	 	 	true
18.0	 	6.402373705728E15	 	 	true
19.0	 	1.21645100408832E17	 	 	true
20.0	 	2.43290200817664E18	 	 	true
21.0	 	5.109094217170944E19	 	 	false
22.0	 	1.1240007277776077E21	 	 	false
23.0	 	2.585201673888498E22	 	 	false
24.0	 	6.204484017332394E23	 	 	false
25.0	 	1.5511210043330986E25	 	 	false
26.0	 	4.0329146112660565E26	 	 	false
27.0	 	1.0888869450418352E28	 	 	false
28.0	 	3.0488834461171384E29	 	 	false
29.0	 	8.841761993739701E30	 	 	false
30.0	 	2.6525285981219103E32	 	 	false
31.0	 	8.222838654177922E33	 	 	false
32.0	 	2.631308369336935E35	 	 	false
33.0	 	8.683317618811886E36	 	 	false
34.0	 	2.9523279903960412E38	 	 	false
35.0	 	1.0333147966386144E40	 	 	false
36.0	 	3.719933267899012E41	 	 	false
37.0	 	1.3763753091226343E43	 	 	false
38.0	 	5.23022617466601E44	 	 	false
39.0	 	2.0397882081197442E46	 	 	false
40.0	 	8.159152832478977E47	 	 	false
41.0	 	3.3452526613163803E49	 	 	false
42.0	 	1.4050061177528798E51	 	 	false
43.0	 	6.041526306337383E52	 	 	false
44.0	 	2.6582715747884485E54	 	 	false
45.0	 	1.1962222086548019E56	 	 	false
46.0	 	5.5026221598120885E57	 	 	false
47.0	 	2.5862324151116818E59	 	 	false
48.0	 	1.2413915592536073E61	 	 	false
49.0	 	6.082818640342675E62	 	 	false
