n 	 	 fact(n) 	 	  isAccurate 
0.0	 	1.0	 	 	true
1.0	 	1.0	 	 	true
2.0	 	2.0	 	 	true
3.0	 	6.0	 	 	true
4.0	 	24.0	 	 	true
5.0	 	120.0	 	 	true
6.0	 	720.0	 	 	true
7.0	 	5040.0	 	 	true
8.0	 	40320.0	 	 	true
9.0	 	362880.0	 	 	true
10.0	 	3628800.0	 	 	true
11.0	 	3.99168E7	 	 	true
12.0	 	4.790016E8	 	 	true
13.0	 	6.2270208E9	 	 	true
14.0	 	8.7178289E10	 	 	false
15.0	 	1.30767428E12	 	 	false
16.0	 	2.09227885E13	 	 	false
17.0	 	3.55687415E14	 	 	false
18.0	 	6.4023735E15	 	 	false
19.0	 	1.21645096E17	 	 	false
20.0	 	2.43290202E18	 	 	false
21.0	 	5.109094E19	 	 	false
22.0	 	1.1240007E21	 	 	false
23.0	 	2.5852017E22	 	 	false
24.0	 	6.2044845E23	 	 	false
25.0	 	1.5511211E25	 	 	false
26.0	 	4.032915E26	 	 	false
27.0	 	1.088887E28	 	 	false
28.0	 	3.0488837E29	 	 	false
29.0	 	8.841763E30	 	 	false
30.0	 	2.6525289E32	 	 	false
31.0	 	8.2228397E33	 	 	false
32.0	 	2.6313087E35	 	 	false
33.0	 	8.6833185E36	 	 	false
34.0	 	2.9523282E38	 	 	false
35.0	 	Infinity	 	 	false
36.0	 	Infinity	 	 	false
37.0	 	Infinity	 	 	false
38.0	 	Infinity	 	 	false
39.0	 	Infinity	 	 	false
40.0	 	Infinity	 	 	false
41.0	 	Infinity	 	 	false
42.0	 	Infinity	 	 	false
43.0	 	Infinity	 	 	false
44.0	 	Infinity	 	 	false
45.0	 	Infinity	 	 	false
46.0	 	Infinity	 	 	false
47.0	 	Infinity	 	 	false
48.0	 	Infinity	 	 	false
49.0	 	Infinity	 	 	false
