n 	 	 fact(n) 	 	  isAccurate 
0	 	1	 	 	true
1	 	1	 	 	true
2	 	2	 	 	true
3	 	6	 	 	true
4	 	24	 	 	true
5	 	120	 	 	true
6	 	720	 	 	true
7	 	5040	 	 	true
8	 	40320	 	 	true
9	 	362880	 	 	true
10	 	3628800	 	 	true
11	 	39916800	 	 	true
12	 	479001600	 	 	true
13	 	1932053504	 	 	false
14	 	1278945280	 	 	false
15	 	2004310016	 	 	false
16	 	2004189184	 	 	false
17	 	-288522240	 	 	false
18	 	-898433024	 	 	false
19	 	109641728	 	 	false
20	 	-2102132736	 	 	false
21	 	-1195114496	 	 	false
22	 	-522715136	 	 	false
23	 	862453760	 	 	false
24	 	-775946240	 	 	false
25	 	2076180480	 	 	false
26	 	-1853882368	 	 	false
27	 	1484783616	 	 	false
28	 	-1375731712	 	 	false
29	 	-1241513984	 	 	false
30	 	1409286144	 	 	false
31	 	738197504	 	 	false
32	 	-2147483648	 	 	false
33	 	-2147483648	 	 	false
34	 	0	 	 	false
35	 	0	 	 	false
36	 	0	 	 	false
37	 	0	 	 	false
38	 	0	 	 	false
39	 	0	 	 	false
40	 	0	 	 	false
41	 	0	 	 	false
42	 	0	 	 	false
43	 	0	 	 	false
44	 	0	 	 	false
45	 	0	 	 	false
46	 	0	 	 	false
47	 	0	 	 	false
48	 	0	 	 	false
49	 	0	 	 	false
