n 	 	 fact(n) 	 	  isAccurate 
0	 	1	 	 	true
1	 	1	 	 	true
2	 	2	 	 	true
3	 	6	 	 	true
4	 	24	 	 	true
5	 	120	 	 	true
6	 	720	 	 	true
7	 	5040	 	 	true
8	 	40320	 	 	true
9	 	362880	 	 	true
10	 	3628800	 	 	true
11	 	39916800	 	 	true
12	 	479001600	 	 	true
13	 	6227020800	 	 	true
14	 	87178291200	 	 	true
15	 	1307674368000	 	 	true
16	 	20922789888000	 	 	true
17	 	355687428096000	 	 	true
18	 	6402373705728000	 	 	true
19	 	121645100408832000	 	 	true
20	 	2432902008176640000	 	 	true
21	 	-4249290049419214848	 	 	false
22	 	-1250660718674968576	 	 	false
23	 	8128291617894825984	 	 	false
24	 	-7835185981329244160	 	 	false
25	 	7034535277573963776	 	 	false
26	 	-1569523520172457984	 	 	false
27	 	-5483646897237262336	 	 	false
28	 	-5968160532966932480	 	 	false
29	 	-7055958792655077376	 	 	false
30	 	-8764578968847253504	 	 	false
31	 	4999213071378415616	 	 	false
32	 	-6045878379276664832	 	 	false
33	 	3400198294675128320	 	 	false
34	 	4926277576697053184	 	 	false
35	 	6399018521010896896	 	 	false
36	 	9003737871877668864	 	 	false
37	 	1096907932701818880	 	 	false
38	 	4789013295250014208	 	 	false
39	 	2304077777655037952	 	 	false
40	 	-70609262346240000	 	 	false
41	 	-2894979756195840000	 	 	false
42	 	7538058755741581312	 	 	false
43	 	-7904866829883932672	 	 	false
44	 	2673996885588443136	 	 	false
45	 	-8797348664486920192	 	 	false
46	 	1150331055211806720	 	 	false
47	 	-1274672626173739008	 	 	false
48	 	-5844053835210817536	 	 	false
49	 	8789267254022766592	 	 	false
